action_sequence_str,count
verifySessionPackage → distributorCfmDeliver,140
updateDeliverWorkshiftByCod → distributorCfmDeliver,75
distributorCfmDeliver → distributorCfmDeliver,47
verifySessionPackage → verifySessionPackage,45
verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver,41
takeDeliveringPackages → distributorCfmDeliver,28
distributorCfmDeliver → takeDeliveringPackages,27
privateNotePackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,22
NVBCTakeAPhotoDelivery → distributorCfmDeliver,19
putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,15
privateNotePackage → updateDeliverWorkshiftByCod → distributorCfmDeliver,14
verifySessionPackage → distributorCfmDeliver → distributorCfmDeliver,14
distributorCfmDeliver → verifySessionPackage,14
distributorCfmDeliver → verifySessionPackage → verifySessionPackage,13
verifySessionPackage → verifySessionPackage → verifySessionPackage,12
distributorCfmDeliver → privateNotePackage,11
verifySessionPackage → updateDeliverWorkshiftByCod → verifySessionPackage → distributorCfmDeliver,11
assignCodPicking → assignCodPicking,10
privateNotePackage → distributorCfmDeliver,10
distributorCfmDeliver → distributorCfmDeliver → distributorCfmDeliver,9
changeAttributeForSurplus → privateNotePackage,8
distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver,8
distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → distributorCfmDeliver,7
distributorCfmDeliver → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage,7
verifySessionPackage → verifySessionPackage → distributorCfmDeliver,7
privateNotePackage → changeAttributeForSurplus,7
privateNotePackage → updateDeliverWorkshiftByCod,7
privateNotePackage → putPackages2Bag → assignBagWithIdentifyBag,6
putPackages2Bag → assignBagWithIdentifyBag,6
smartScaleScanningPackage → requestHandOverPackages → distributorCfmDeliver,6
distributorCfmDeliver → distributorCfmDeliver → verifySessionPackage,6
verifySessionPackage → putPackages2Bag → assignBagWithIdentifyBag,6
distributorCfmDeliver → confirmTmpDeliveredPackageStatus → RefundBill → updateDelayDeliveringByCod → distributorCfmDeliver,6
putPackages2Bag → putInBox,6
updateDeliverWorkshiftByCod → distributorCfmDeliver → verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver,6
distributorCfmDeliver → takeDeliveringPackages → distributorCfmDeliver,5
verifySessionPackage → NVBCTakeAPhotoDelivery → distributorCfmDeliver,5
privateNotePackage → privateNotePackage → privateNotePackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,5
distributorCfmReturning → takeReturningPackages,5
updateDeliverWorkshiftByCod → updateDeliverWorkshiftByCod → distributorCfmDeliver,5
updateDeliverWorkshiftByCod → printfPackage → verifySessionPackage → distributorCfmDeliver,5
takeReturningPackages → distributorCfmReturning,5
distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod,5
verifySessionPackage → updateDeliverWorkshiftByCod,5
distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → distributorCfmDeliver,5
updateDeliverWorkshiftByCod → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill,4
verifySessionPackage → distributorCfmDeliver → distributorCfmDeliver → distributorCfmDeliver,4
privateNotePackage → updateDeliverWorkshiftByCod → NVBCTakeAPhotoDelivery → distributorCfmDeliver,4
privateNotePackage → updateDeliverWorkshiftByCod → checkPackageSealScanned → saveIsfrageImages → distributorCfmDeliver,4
distributorCfmDeliver → updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus → distributorCfmDeliver,4
distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill,4
verifySessionPackage → confirmIssueHandovers → feedbackReDelivery → feedbackReDelivery → distributorCfmDeliver,4
privateNotePackage → privateNotePackage,4
updateDeliverWorkshiftByCod → checkPackageSealScanned → saveIsfrageImages → distributorCfmDeliver,4
privateNotePackage → privateNotePackage → putPackages2Bag → assignBagWithIdentifyBag,4
privateNotePackage → verifySessionPackage,3
checkPackageSealScanned → saveIsfrageImages → distributorCfmDeliver,3
privateNotePackage → privateNotePackage → privateNotePackage → putPackages2Bag → assignBagWithIdentifyBag,3
updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus,3
verifySessionPackage → updateDeliverWorkshiftByCod → NVBCTakeAPhotoDelivery → distributorCfmDeliver,3
verifySessionPackage → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → verifySessionPackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,3
verifySessionPackage → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → putPackages2Bag → assignBagWithIdentifyBag,3
verifySessionPackage → verifySessionPackage → verifySessionPackage → putPackages2Bag → assignBagWithIdentifyBag,3
distributorCfmDeliver → updateDeliverWorkshiftByCod → distributorCfmDeliver,3
distributorCfmDeliver → updateDeliverWorkshiftByCod,3
privateNotePackage → privateNotePackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,3
privateNotePackage → updateDeliverWorkshiftByCod → updateDeliverWorkShiftPackage → privateNotePackage,3
verifySessionPackage → smartScaleScanningPackage → distributorCfmDeliver,3
distributorCfmDeliver → privateNotePackage → verifySessionPackage → verifySessionPackage,2
distributorCfmDeliver → distributorCfmDeliver → privateNotePackage → updateDeliverWorkshiftByCod → distributorCfmDeliver,2
verifySessionPackage → smartScaleScanningPackage → saveIsfrageImages → smartScaleScanningPackage → importStationByDistributer → distributorCfmReturning,2
verifySessionPackage → verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver,2
updateDeliverWorkshiftByCod → printfPackage → verifySessionPackage → NVBCTakeAPhotoDelivery → distributorCfmDeliver,2
saveSealForSpecialPackage → saveIsfrageImages → putPackages2Bag → putInBox,2
verifySessionPackage → verifySessionPackage → putPackages2Bag → assignBagWithIdentifyBag,2
verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → distributorCfmDeliver → distributorCfmDeliver,2
verifySessionPackage → feedbackReDelivery → confirmIssueHandovers → feedbackReDelivery,2
updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → ChangeDeliverCodByConfirmDeliveringByOperator → RefundBill,2
verifySessionPackage → verifySessionPackage → feedbackReDelivery → feedbackReDelivery → confirmIssueHandovers → distributorCfmDeliver,2
privateNotePackage → changeAttributeForSurplus → distributorCfmDeliver,2
verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage,2
privateNotePackage → updateDeliverWorkShiftPackage,2
RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod,2
assignCodPicking → PickupBill → confirmTmpPickedPackageStatus → updatePickedByCod → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,2
verifySessionPackage → distributorCfmDeliver → verifySessionPackage,2
verifyStationSessionPackageOfBagExtra → verifyStationSessionPackageOfBagExtra → verifyStationSessionPackageOfBagExtra → verifySessionPackage,2
verifySessionPackage → feedbackReDelivery → confirmIssueHandovers → feedbackReDelivery → distributorCfmDeliver,2
updateDeliverCod → editPackage,2
verifySessionPackage → distributorCfmDeliver → updateDeliverWorkshiftByCod,2
verifySessionPackage → distributorCfmDeliver → verifySessionPackage → putPackages2Bag → assignBagWithIdentifyBag,2
updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → privateNotePackage → saveIsfrageImages,2
distributorCfmDeliver → distributorCfmDeliver → distributorCfmDeliver → verifySessionPackage → verifySessionPackage,2
printfPackage → privateNotePackage,2
changeAttributeForSurplus → privateNotePackage → distributorCfmDeliver,2
verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → distributorCfmDeliver,2
updateDeliverWorkshiftByCod → NVBCTakeAPhotoDelivery → distributorCfmDeliver,2
verifySessionPackage → distributorCfmDeliver → verifySessionPackage → distributorCfmDeliver,2
smartScaleScanningPackage → putPackages2Bag → putInBox,2
editPackage → updateDeliverCod,2
verifySessionPackage → privateNotePackage,2
updateDeliverWorkshiftByCod → updateDeliverWorkshiftByCod,2
printfPackage → distributorCfmDeliver,2
takeDeliveringPackages → distributorCfmDeliver → verifySessionPackage,2
printfPackage → updateDeliverWorkshiftByCod → verifySessionPackage → distributorCfmDeliver,2
verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → verifySessionPackage,2
assignCodPicking → confirmTmpPickedPackageStatus → updatePickedByCod → PickupBill → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,2
printfPackage → confirmPackageHandover → verifySessionPackage,2
distributorCfmDeliver → takeDeliveringPackages → distributorCfmDeliver → verifySessionPackage,2
distributorCfmDeliver → privateNotePackage → verifySessionPackage → putPackages2Bag → assignBagWithIdentifyBag,2
NVBCTakeAPhotoDelivery → distributorCfmDeliver → NVBCConfirmImageWorkshift,2
distributorCfmDeliver → updateDeliverWorkshiftByCod → printfPackage → privateNotePackage → distributorCfmDeliver,2
privateNotePackage → updateDeliverWorkshiftByCod → updateDeliverWorkshiftByCod → distributorCfmDeliver,2
updateDeliverWorkshiftByCod → distributorCfmDeliver → distributorCfmDeliver → distributorCfmDeliver,2
verifySessionPackage → smartScaleScanningPackage → smartScaleScanningPackage → smartScaleScanningPackage → smartScaleScanningPackage → distributorCfmReturning → importStationByDistributer,2
verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,2
privateNotePackage → updateDeliverWorkShiftPackage → privateNotePackage,2
verifySessionPackage → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage,2
distributorCfmDeliver → NVBCConfirmImageWorkshift → RefundBill → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → distributorCfmDeliver → NVBCConfirmImageWorkshift → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → saveIsfrageImages → updateDeliverWorkshiftByCod → distributorCfmDeliver,1
verifySessionPackage → verifySessionPackage → verifySessionPackage → distributorCfmDeliver → verifySessionPackage → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → putPackages2Bag → assignBagWithIdentifyBag,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → RefundBill → updateNotDeliveredByCod → confirmTmpDeliveredPackageStatus → verifySessionPackage,1
verifySessionPackage → updateDeliverWorkshiftByCod → verifySessionPackage → smartScaleScanningPackage → requestHandOverPackages → requestHandOverPackages → requestHandOverPackages → distributorCfmDeliver,1
privateNotePackage → saveSealForSpecialPackage → saveIsfrageImages → saveSealForSpecialPackage → saveIsfrageImages → putPackages2Bag → smartScaleScanningPackage → putInBox,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
confirmTmpDeliveredPackageStatus → RefundBill → verifySessionPackage → verifySessionPackage,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → updateDeliverWorkshiftByCod → distributorCfmDeliver → privateNotePackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → privateNotePackage → updateDeliverWorkshiftByCod → distributorCfmDeliver,1
changeAttributeForSurplus → privateNotePackage → distributorCfmDeliver → distributorCfmDeliver,1
confirmTmpDeliveredPackageStatus → RefundBill → updateDelayDeliveringByCod,1
privateNotePackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → privateNotePackage → privateNotePackage → privateNotePackage → printfPackage,1
distributorCfmDeliver → RefundBill → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → RefundBill → verifySessionPackage,1
distributorCfmDeliver → verifySessionPackage → distributorCfmDeliver → verifySessionPackage → verifySessionPackage,1
verifySessionPackage → confirmIssueHandovers → feedbackReDelivery → feedbackReDelivery → distributorCfmDeliver → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
assignCodPicking → updatePickedByCod → PickupBill → confirmTmpPickedPackageStatus → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
assignCodPicking → PickupBill → updatePickedByCod → confirmTmpPickedPackageStatus,1
smartScaleScanningPackage → verifySessionPackage,1
updateDeliverWorkshiftByCod → printfPackage → changeAttributeForSurplus → privateNotePackage → distributorCfmDeliver,1
distributorCfmDeliver → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → RefundBill → updateDelayDeliveringByCod → distributorCfmDeliver,1
distributorCfmDeliver → privateNotePackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
privateNotePackage → privateNotePackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → privateNotePackage → putPackages2Bag → assignBagWithIdentifyBag,1
distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → verifySessionPackage → distributorCfmDeliver,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → ChangeDeliverCodByConfirmDeliveringByOperator → updateDelayDeliveringByCod → RefundBill,1
distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → distributorCfmDeliver → updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus → distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateNotDeliveredByCod,1
verifySessionPackage → distributorCfmDeliver → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
cfmDonePrepaymnet → Prepayment_qrBill,1
cfmImpPkgFrPONew → smartScaleScanningPackage,1
distributorCfmDeliver → updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill,1
updateDeliverWorkshiftByCod → printfPackage → privateNotePackage → changeAttributeForSurplus → distributorCfmDeliver,1
assignCodPicking → confirmTmpPickedPackageStatus → PickupBill → PickupCrossProvinceBill → updatePickedByCod,1
TakeAPhotoWeightChange → TakeAPhotoWeightChange,1
distributorCfmDeliver → ArriveDeliveringPoint → updateTmpDeliveringStatus → delayDeliverPackageReason → confirmTmpDeliveredPackageStatus → RefundBill,1
distributorCfmDeliver → updateDeliverWorkshiftByCod → printfPackage → updateDeliverWorkshiftByCod → printfPackage → privateNotePackage → distributorCfmDeliver → distributorCfmDeliver,1
RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → updateDelayDeliveringByCod → RefundBill → updateNotDeliveredByCod → confirmTmpDeliveredPackageStatus,1
privateNotePackage → updateDeliverWorkshiftByCod → updateDeliverWorkShiftPackage → privateNotePackage → privateNotePackage → privateNotePackage → updateDeliverWorkshiftByCod → privateNotePackage,1
verifySessionPackage → printfPackage,1
distributorCfmDeliver → distributorCfmDeliver → distributorCfmDeliver → verifySessionPackage → printfPackage,1
verifySessionPackage → smartScaleScanningPackage → distributorCfmReturning → importStationByDistributer → ReturnBill → confirmTmpReturnedPackageStatus → updateReturnedByCod,1
distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → distributorCfmDeliver,1
confirmTmpReturnedPackageStatus → updateReturnedByCod → ReturnBill,1
assignCodPicking → updatePickedByCod → PickupCrossProvinceBill → PickupBill → confirmTmpPickedPackageStatus → putPackages2Bag → putPackages2Bag → putPackages2Bag → putPackages2Bag → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → RefundBill → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → updateDelayDeliveringByCod → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateNotDeliveredByCod → RefundBill → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
privateNotePackage → feedbackCancelPackage → changePackageStatus → feedbackCancelPackage → changePackageStatus,1
distributorCfmDeliver → distributorCfmDeliver → printfPackage → updateDeliverWorkshiftByCod → privateNotePackage → distributorCfmDeliver → verifySessionPackage,1
verifySessionPackage → updateDeliverWorkshiftByCod → verifySessionPackage,1
verifySessionPackage → confirmIssueHandovers → feedbackReDelivery → feedbackReDelivery → distributorCfmDeliver → verifySessionPackage → verifySessionPackage,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
takeDeliveringPackages → distributorCfmDeliver → distributorCfmDeliver,1
privateNotePackage → privateNotePackage → privateNotePackage → smartScaleScanningPackage → putPackages2Bag → assignBagWithIdentifyBag,1
distributorCfmDeliver → verifySessionPackage → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → verifySessionPackage → privateNotePackage,1
updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → ChangeDeliverCodByConfirmDeliveringByOperator,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → distributorCfmDeliver,1
distributorCfmDeliver → updateNotDeliveredByCod → confirmTmpDeliveredPackageStatus → RefundBill → privateNotePackage,1
NVBCTakeAPhotoDelivery → checkPackageSealScanned → checkPackageSealScanned → saveIsfrageImages → distributorCfmDeliver,1
saveIsfrageImages → updateDeliverWorkshiftByCod → distributorCfmDeliver,1
distributorCfmDeliver → verifySessionPackage → verifySessionPackage → printfPackage,1
distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → RefundBill → updateNotDeliveredByCod → confirmTmpDeliveredPackageStatus,1
distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → updateNotDeliveredByCod → RefundBill → confirmTmpDeliveredPackageStatus → verifySessionPackage → verifySessionPackage → putPackages2Bag → assignBagWithIdentifyBag,1
distributorCfmDeliver → distributorCfmDeliver → saveIsfrageImages → distributorCfmDeliver → updateNotDeliveredByCod → confirmTmpDeliveredPackageStatus → RefundBill,1
verifySessionPackage → updateDeliverWorkshiftByCod → verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver,1
distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus,1
verifySessionPackage → distributorCfmDeliver → distributorCfmDeliver → verifySessionPackage,1
privateNotePackage → updateDeliverWorkShiftPackage → distributorCfmDeliver,1
distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → updateNotDeliveredByCod → RefundBill → confirmTmpDeliveredPackageStatus → verifySessionPackage → putPackages2Bag → assignBagWithIdentifyBag,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → updateNotDeliveredByCod → confirmTmpDeliveredPackageStatus → RefundBill → verifySessionPackage,1
verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver,1
RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → privateNotePackage → updateDeliverWorkshiftByCod → printfPackage → verifySessionPackage → saveIsfrageImages → distributorCfmDeliver,1
distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → RefundBill → updateDelayDeliveringByCod → distributorCfmDeliver → updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus,1
verifySessionPackage → verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → smartScaleScanningPackage → distributorCfmDeliver → verifySessionPackage → distributorCfmDeliver → verifySessionPackage → updateTmpDeliveringStatus → verifySessionPackage → updateNotDeliveredByCod → RefundBill → confirmTmpDeliveredPackageStatus → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
verifySessionPackage → verifySessionPackage → verifySessionPackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
printfPackage → privateNotePackage → changeAttributeForSurplus → distributorCfmDeliver,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → RefundBill → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateNotDeliveredByCod,1
verifySessionPackage → distributorCfmDeliver → RefundBill → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → verifySessionPackage → saveIsfrageImages → distributorCfmDeliver,1
smartScaleScanningPackage → smartScaleScanningPackage → ChangePackageSize → ManualInput,1
updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → RefundBill → confirmTmpDeliveredPackageStatus → updateNotDeliveredByCod,1
NVBCConfirmImageWorkshift → updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus → distributorCfmDeliver,1
updateDeliverWorkshiftByCod → printfPackage → privateNotePackage → changeAttributeForSurplus → distributorCfmDeliver → verifySessionPackage,1
