action_sequence_str,count
takeDeliveringPackages → distributorCfmDeliver → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → confirmIssueHandovers → feedbackReDelivery → feedbackReDelivery → distributorCfmDeliver,1
verifySessionPackage → NVBCTakeAPhotoDelivery → distributorCfmDeliver → verifySessionPackage → updateDeliverWorkshiftByCod,1
verifySessionPackage → verifySessionPackage → editPackage → changeCustomerFirstAddress → changeCustomerLastAddress → changeDelieverCartId → putPackages2Bag → assignBagWithIdentifyBag,1
distributorCfmDeliver → updateDeliverWorkshiftByCod → printfPackage → distributorCfmDeliver,1
distributorCfmDeliver → distributorCfmDeliver → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
saveIsfrageImages → distributorCfmDeliver → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → RefundBill → updateNotDeliveredByCod,1
distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
verifySessionPackage → distributorCfmDeliver → confirmChangeAddress,1
distributorCfmDeliver → updateDeliverWorkshiftByCod → printfPackage → distributorCfmDeliver → distributorCfmDeliver,1
verifySessionPackage → distributorCfmDeliver → distributorCfmDeliver → verifySessionPackage → distributorCfmDeliver → verifySessionPackage → privateNotePackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
verifySessionPackage → verifySessionPackage → verifySessionPackage → distributorCfmDeliver → privateNotePackage,1
privateNotePackage → editPackage,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → updateDeliverCod → editPackage,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → distributorCfmDeliver,1
ReturnBill → updateReturnedByCod → confirmTmpReturnedPackageStatus,1
distributorCfmDeliver → updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus → RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod,1
distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill,1
updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → Refund_payment_qrBill,1
distributorCfmDeliver → distributorCfmDeliver → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
NVBCTakeAPhotoDelivery → checkPackageSealScanned → saveIsfrageImages → distributorCfmDeliver,1
updateDeliverWorkshiftByCod → TakeAPhotoPicked → saveSealForSpecialPackage → distributorCfmDeliver,1
distributorCfmDeliver → verifySessionPackage → feedbackReDelivery → confirmIssueHandovers → feedbackReDelivery → distributorCfmDeliver,1
distributorCfmDeliver → RefundBill → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → updateDeliverWorkshiftByCod → distributorCfmDeliver,1
distributorCfmDeliver → confirmTmpDeliveredPackageStatus → RefundBill → updateDelayDeliveringByCod → distributorCfmDeliver → updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus → distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateNotDeliveredByCod → verifySessionPackage → verifySessionPackage → verifySessionPackage → putPackages2Bag → assignBagWithIdentifyBag,1
distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → RefundBill → updateNotDeliveredByCod → verifySessionPackage → verifySessionPackage,1
verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → verifySessionPackage → privateNotePackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
verifySessionPackage → NVBCTakeAPhotoDelivery → distributorCfmDeliver → NVBCConfirmImageWorkshift,1
distributorCfmDeliver → distributorCfmDeliver → distributorCfmDeliver → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → updateDeliverWorkshiftByCod → distributorCfmDeliver,1
distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → distributorCfmDeliver → updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus → distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateNotDeliveredByCod → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
distributorCfmDeliver → verifySessionPackage → verifySessionPackage → verifySessionPackage → putPackages2Bag → assignBagWithIdentifyBag,1
distributorCfmDeliver → distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → saveIsfrageImages → privateNotePackage → distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateNotDeliveredByCod,1
updateReturnedByCod → confirmTmpReturnedPackageStatus → ReturnBill,1
privateNotePackage → updateDeliverCod → editPackage,1
privateNotePackage → changeAttributeForSurplus → updateDeliverWorkshiftByCod → NVBCTakeAPhotoDelivery → distributorCfmDeliver,1
confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → saveIsfrageImages,1
assignCodPicking → PickupBill → updatePickedByCod → confirmTmpPickedPackageStatus → PickupCrossProvinceBill,1
verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → verifySessionPackage → changePackageStatus → RefundBill → verifySessionPackage → verifySessionPackage → verifySessionPackage → privateNotePackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
distributorCfmDeliver → RefundBill → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateNotDeliveredByCod → RefundBill → verifySessionPackage,1
distributorCfmDeliver → confirmTmpDeliveredPackageStatus → RefundBill → updateDelayDeliveringByCod → distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill,1
verifySessionPackage → verifySessionPackage → feedbackReDelivery → confirmIssueHandovers → feedbackReDelivery → distributorCfmDeliver → distributorCfmDeliver → printfPackage,1
privateNotePackage → updateDeliverWorkshiftByCod → privateNotePackage → updateDeliverWorkshiftByCod → privateNotePackage → saveSealForSpecialPackage → saveIsfrageImages → putPackages2Bag → putInBox,1
verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → verifySessionPackage → distributorCfmDeliver → changePackageStatus → RefundBill → verifySessionPackage → privateNotePackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
printfPackage → privateNotePackage → changeAttributeForSurplus → NVBCTakeAPhotoDelivery → distributorCfmDeliver,1
distributorCfmDeliver → ChangeDeliverCodByConfirmDeliveringByOperator → RefundBill → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → distributorCfmDeliver,1
verifySessionPackage → feedbackReDelivery → confirmIssueHandovers → feedbackReDelivery → distributorCfmDeliver → verifySessionPackage,1
verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → distributorCfmDeliver → verifySessionPackage → distributorCfmDeliver → verifySessionPackage → privateNotePackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
smartScaleScanningPackage → smartScaleScanningPackage → importStationByDistributer → distributorCfmReturning,1
distributorCfmDeliver → distributorCfmDeliver → saveIsfrageImages → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateNotDeliveredByCod,1
privateNotePackage → distributorCfmDeliver → privateNotePackage → distributorCfmDeliver → privateNotePackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
distributorCfmDeliver → updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus → updateDeliverWorkshiftByCod → distributorCfmDeliver,1
verifyStationSessionPackageOfBagExtra → verifyStationSessionPackageOfBagExtra → verifyStationSessionPackageOfBagExtra → verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → verifySessionPackage,1
distributorCfmDeliver → distributorCfmDeliver → distributorCfmDeliver → distributorCfmDeliver,1
verifySessionPackage → distributorCfmDeliver → distributorCfmDeliver → distributorCfmDeliver → verifySessionPackage → privateNotePackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
assignCodPicking → confirmTmpPickedPackageStatus → PickupBill → updatePickedByCod,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → privateNotePackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → privateNotePackage → updateDeliverWorkshiftByCod → distributorCfmDeliver,1
distributorCfmDeliver → privateNotePackage → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → updateDeliverWorkshiftByCod → printfPackage → verifySessionPackage → NVBCTakeAPhotoDelivery → distributorCfmDeliver,1
verifySessionPackage → updateDeliverWorkshiftByCod → verifySessionPackage → verifySessionPackage → distributorCfmDeliver → verifySessionPackage → distributorCfmDeliver → verifySessionPackage → distributorCfmDeliver → verifySessionPackage → putPackages2Bag → assignBagWithIdentifyBag,1
verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → verifySessionPackage → distributorCfmDeliver → verifySessionPackage → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → putPackages2Bag → assignBagWithIdentifyBag,1
distributorCfmDeliver → privateNotePackage → distributorCfmDeliver,1
assignCodPicking → PickupBill → PickupCrossProvinceBill → updatePickedByCod → confirmTmpPickedPackageStatus,1
distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → updateNotDeliveredByCod → confirmTmpDeliveredPackageStatus → RefundBill → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
verifySessionPackage → editPackage → changeCustomerFirstAddress → changeCustomerLastAddress → changeDelieverCartId → printfPackage → verifySessionPackage → putPackages2Bag → assignBagWithIdentifyBag,1
distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → distributorCfmDeliver → RefundBill → changePackageStatus → confirmPackageHandover,1
NVBCTakeAPhotoDelivery → NVBCConfirmImageWorkshift → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → verifySessionPackage → saveSealForSpecialPackage → saveIsfrageImages → saveSealForSpecialPackage → saveIsfrageImages → putPackages2Bag → putInBox,1
updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill,1
verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → putPackages2Bag → assignBagWithIdentifyBag,1
printfPackage → verifySessionPackage → printfPackage → confirmPackageHandover → confirmPackageHandover → putPackages2Bag → smartScaleScanningPackage → smartScaleScanningPackage → putInBox,1
importStationByDistributer → distributorCfmReturning → smartScaleScanningPackage,1
assignCodPicking → PickupCrossProvinceBill → confirmTmpPickedPackageStatus → PickupBill → updatePickedByCod → smartScaleScanningPackage,1
distributorCfmDeliver → privateNotePackage → updateDeliverWorkshiftByCod → distributorCfmDeliver,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → updateDeliverWorkshiftByCod,1
updateDeliverWorkshiftByCod → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → distributorCfmDeliver → RefundBill → updateNotDeliveredByCod → confirmTmpDeliveredPackageStatus → verifySessionPackage,1
updateDeliverWorkshiftByCod → checkPackageSealScanned → saveIsfrageImages → distributorCfmDeliver → checkPackageSealScanned → saveIsfrageImages → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → checkPackageSealScanned → checkPackageSealScanned → checkPackageSealScanned → saveIsfrageImages → distributorCfmDeliver,1
verifySessionPackage → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → privateNotePackage → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
assignCodPicking → PickupBill → updatePickedByCod → confirmTmpPickedPackageStatus → distributorCfmDeliver,1
distributorCfmDeliver → verifySessionPackage → feedbackReDelivery → feedbackReDelivery → confirmIssueHandovers → distributorCfmDeliver,1
distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus → distributorCfmDeliver → updateNotDeliveredByCod → RefundBill → confirmTmpDeliveredPackageStatus → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → ChangeDeliverCodByConfirmDeliveringByOperator → distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → ChangeDeliverCodByConfirmDeliveringByOperator → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → RefundBill → updateNotDeliveredByCod → ChangeDeliverCodByConfirmDeliveringByOperator → verifySessionPackage,1
RefundBill → changePackageStatus,1
verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → verifySessionPackage → distributorCfmDeliver,1
RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → saveIsfrageImages → updateDeliverWorkshiftByCod → distributorCfmDeliver,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → verifySessionPackage → updateDeliverWorkshiftByCod → verifySessionPackage,1
RefundBill → confirmTmpDeliveredPackageStatus → updateNotDeliveredByCod → privateNotePackage,1
assignCodPicking → cfmDonePrepaymnet → PrepaymentBill → PickupCrossProvinceBill → confirmTmpPickedPackageStatus → updatePickedByCod → PickupBill,1
verifySessionPackage → NVBCTakeAPhotoDelivery → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → RefundBill → updateDelayDeliveringByCod → verifySessionPackage → saveIsfrageImages → verifySessionPackage → distributorCfmDeliver → privateNotePackage → privateNotePackage,1
distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → ChangeDeliverCodByConfirmDeliveringByOperator → distributorCfmDeliver,1
verifySessionPackage → updateDeliverWorkshiftByCod → distributorCfmDeliver → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
distributorCfmDeliver → printfPackage → privateNotePackage → updateDeliverWorkshiftByCod → distributorCfmDeliver,1
printfPackage → changeAttributeForSurplus → privateNotePackage → NVBCTakeAPhotoDelivery → distributorCfmDeliver,1
distributorCfmDeliver → updateDeliverWorkshiftByCod → distributorCfmDeliver → privateNotePackage → updateDeliverWorkshiftByCod → distributorCfmDeliver,1
verifySessionPackage → distributorCfmDeliver → distributorCfmDeliver → verifySessionPackage → distributorCfmDeliver → verifySessionPackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → RefundBill → updateDelayDeliveringByCod → distributorCfmDeliver,1
privateNotePackage → feedbackReDelivery → confirmIssueHandovers → feedbackReDelivery,1
RefundBill → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus,1
verifySessionPackage → privateNotePackage → NVBCTakeAPhotoDelivery → distributorCfmDeliver,1
privateNotePackage → updateDeliverWorkShiftPackage → privateNotePackage → smartScaleScanningPackage,1
changePackageStatus → changeCodForPackagesInCart → assignCodPicking → updateDelayPickingByCod → confirmTmpPickedPackageStatus → PickupBill → assignCodPicking → updatePickedByCod → PickupCrossProvinceBill → PickupBill → confirmTmpPickedPackageStatus → smartScaleScanningPackage → printfPackage,1
smartScaleScanningPackage → importStationByDistributer → distributorCfmReturning,1
privateNotePackage → privateNotePackage → updateDeliverWorkshiftByCod → privateNotePackage,1
printfPackage → confirmPackageHandover → verifySessionPackage → distributorCfmDeliver,1
assignCodPicking → confirmTmpPickedPackageStatus → PickupBill → updatePickedByCod → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
verifySessionPackage → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage → putPackages2Bag → assignBagWithIdentifyBag,1
verifySessionPackage → distributorCfmDeliver → privateNotePackage → verifySessionPackage → putPackages2Bag → assignBagWithIdentifyBag,1
ScanPackageToBag → ScanPackageToBag,1
distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → updateNotDeliveredByCod → confirmTmpDeliveredPackageStatus → RefundBill → verifySessionPackage,1
updateDeliverWorkshiftByCod → NVBCConfirmImageWorkshift → updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → updateNotDeliveredByCod → confirmTmpDeliveredPackageStatus → RefundBill,1
updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus → saveIsfrageImages,1
distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateNotDeliveredByCod → RefundBill,1
distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → privateNotePackage → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → RefundBill → updateNotDeliveredByCod → verifySessionPackage,1
printfPackage → updateDeliverWorkshiftByCod → privateNotePackage → changeAttributeForSurplus → distributorCfmDeliver,1
verifySessionPackage → verifySessionPackage → importStationByDistributer → distributorCfmReturning → smartScaleScanningPackage,1
verifyStationSessionPackageOfBagExtra → verifyStationSessionPackageOfBagExtra → verifyStationSessionPackageOfBagExtra → verifySessionPackage → distributorCfmDeliver,1
verifySessionPackage → printfPackage → verifySessionPackage,1
distributorCfmDeliver → privateNotePackage → verifySessionPackage,1
PickupBill → confirmTmpPickedPackageStatus → updateDelayPickingByCod,1
NVBCTakeAPhotoDelivery → verifySessionPackage,1
privateNotePackage → updateDeliverWorkShiftPackage → reassignDeliverCart → distributorCfmDeliver,1
distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → distributorCfmDeliver → RefundBill → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateNotDeliveredByCod → RefundBill → verifySessionPackage → verifySessionPackage,1
privateNotePackage → checkPackageSealScanned → saveIsfrageImages → distributorCfmDeliver,1
verifySessionPackage → distributorCfmDeliver → distributorCfmDeliver → privateNotePackage → updateDeliverWorkshiftByCod → distributorCfmDeliver,1
distributorCfmDeliver → privateNotePackage → confirmTmpDeliveredPackageStatus → RefundBill → updateDelayDeliveringByCod → distributorCfmDeliver,1
distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → NVBCConfirmImageWorkshift → confirmTmpDeliveredPackageStatus → updateNotDeliveredByCod → RefundBill → verifySessionPackage,1
updatePickedByCod → confirmTmpPickedPackageStatus → PickupBill → PickupCrossProvinceBill,1
distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → updateDelayDeliveringByCod → RefundBill → confirmTmpDeliveredPackageStatus → distributorCfmDeliver,1
printPackageBBS → printfPackage → distributorCfmDeliver,1
changePackageStatus → changeCodForPackagesInCart → PickupCrossProvinceBill → PickupBill → updatePickedByCod → confirmTmpPickedPackageStatus,1
confirmTmpDeliveredPackageStatus → updatePartDeliveredByCod → Refund_payment_qrBill,1
verifySessionPackage → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → distributorCfmDeliver → distributorCfmDeliver → verifySessionPackage → putPackages2Bag → assignBagWithIdentifyBag,1
verifySessionPackage → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → verifySessionPackage,1
distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → RefundBill → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → distributorCfmDeliver,1
distributorCfmDeliver → RefundBill → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → distributorCfmDeliver,1
verifyStationSessionPackageOfBagExtra → verifyStationSessionPackageOfBagExtra → verifyStationSessionPackageOfBagExtra → verifySessionPackage → verifySessionPackage → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → RefundBill → updateNotDeliveredByCod,1
updateDeliverWorkshiftByCod → printfPackage → printfPackage → privateNotePackage → changeAttributeForSurplus → distributorCfmDeliver,1
saveIsfrageImages → privateNotePackage → Refund_paymentBill → confirmTmpDeliveredPackageStatus → updateDeliveredCompletelyByCod,1
verifySessionPackage → verifySessionPackage → feedbackReDelivery → confirmIssueHandovers → feedbackReDelivery → distributorCfmDeliver,1
